Species,Relative_Abundance
Microbacterium sp. zg-B185,0
Microbacterium sp. LWH13-1.2,0
Microbacterium sp. Clip185,0
Microbacterium sp. cx-55,0
Microbacterium sp. XT11,0
Microbacterium sp. zg-Y625,0
Microbacterium sp. AB,0
Microbacterium sp. TPU 3598,0
Microbacterium sp. M28,0
Microbacterium sp. ABRD28,0
Microbacterium sp. LWO13-1.2,0
Microbacterium sp. YJN-G,0
Microbacterium sp. Y-01,0
Microbacterium sp. KUDC0406,0
Microbacterium sp. LWO14-1.2,0
Microbacterium sp. JZ31,0
Microbacterium sp. SL75,0
Microbacterium sp. NIBRBAC000506063,0
Microbacterium sp. nov. GSS16,0
Microbacterium sp. LWH11-1.2,0
Microbacterium sp. J1-1,0
Microbacterium sp. SGAir0570,0
Microbacterium sp. 1S1,0
Microbacterium sp. RG1,0
Microbacterium sp. PAMC22086,0
Microbacterium sp. Nx66,0
Microbacterium sp. BDGP8,0
Microbacterium sp. CBA3102,0
Microbacterium sp. CGR1,0
Microbacterium sp. 1.5R,0
Microbacterium sp. PAMC 28756,0
Microbacterium sp. F6_8S_P_2B,0
Microbacterium sp. str. 'China',0
Microbacterium sp. A(2022),0
Microbacterium sp. PAMC21962,0
Microbacterium sp. EF45047,0
Microbacterium hominis,0
Microbacterium aurum,0
Microbacterium oleivorans,0
Microbacterium testaceum,0
Microbacterium protaetiae,0
Microbacterium esteraromaticum,0
Microbacterium oxydans,0
Microbacterium luteum,0
Microbacterium liquefaciens,0
Microbacterium arborescens,0
Microbacterium rhizosphaerae,0
Microbacterium caowuchunii,0
Microbacterium proteolyticum,0
Microbacterium sediminis,0
Microbacterium foliorum,0
Microbacterium lemovicicum,0
Microbacterium oryzae,0
Microbacterium terricola,0
Microbacterium atlanticum,0
Microbacterium pygmaeum,0
Microbacterium horticulturae,0
Microbacterium elymi,0
Microbacterium cremeum,0
Microbacterium chocolatum,0
Microbacterium resistens,0
Microbacterium sufflavum,0
Microbacterium azadirachtae,0
Microbacterium schleiferi,0
Microbacterium binotii,0
Microbacterium hydrocarbonoxydans,0
Microbacterium invictum,0
Microbacterium limosum,0
Microbacterium abyssi,0
Microbacterium galbinum,0
Microbacterium luteolum,0
Microbacterium wangchenii,0
Microbacterium amylolyticum,0
Microbacterium paraoxydans,0
Microbacterium lushaniae,0
Microbacterium endophyticum,0
Microbacterium fandaimingii,0
Microbacterium plantarum,0
Microbacterium suwonense,0
Microbacterium chengjingii,0
Microbacterium paludicola,0
Microbacterium aurugineum,0
Microbacterium neungamense,0
Curtobacterium sp. MCPF17_002,0
Curtobacterium sp. MCSS17_007,0
Curtobacterium sp. 458,0
Curtobacterium sp. MCLR17_032,0
Curtobacterium sp. MCJR17_020,0
Curtobacterium sp. DN_7.5,0
Curtobacterium sp. MCPF17_052,0
Curtobacterium sp. YC1,0
Curtobacterium sp. TXMA1,0
Curtobacterium sp. MCSS17_015,0
Curtobacterium sp. MCLR17_007,0
Curtobacterium sp. MCBA15_004,0
Curtobacterium sp. C1,0
Curtobacterium sp. Csp1,0
Curtobacterium sp. TC1,0
Curtobacterium sp. MR_MD2014,0
Curtobacterium sp. SGAir0471,0
Curtobacterium sp. BH-2-1-1,0
Curtobacterium sp. MCLR17_036,0
Curtobacterium sp. L6-1,0
Curtobacterium sp. 9128,0
Curtobacterium sp. MCBD17_040,0
Curtobacterium sp. MCBD17_026,0
Curtobacterium sp. MCJR17_043,0
Curtobacterium sp. MCBA15_012,0
Curtobacterium sp. MCLR17_058,0
Curtobacterium sp. MCSS17_005,0
Curtobacterium sp. MCLR17_054,0
Curtobacterium sp. MCBD17_035,0
Curtobacterium sp. MCSS17_016,0
Curtobacterium sp. MCPF17_050,0
Curtobacterium sp. Csp2,0
Curtobacterium sp. MCBD17_003,0
Curtobacterium sp. MCLR17_031,0
Curtobacterium flaccumfaciens,0
Curtobacterium citreum,0
Agromyces soli,0
Agromyces marinus,0
Agromyces protaetiae,0
Agromyces archimandritae,0
Agromyces sp. H17E-10,0
Agromyces sp. LHK192,0
Agromyces mangrovi,0
Agromyces flavus,0
Agromyces laixinhei,0
Agromyces aureus,0
Agromyces larvae,0
Agromyces badenianii,0
Agromyces intestinalis,0
Leifsonia sp. ZF2019,0
Leifsonia sp. PS1209,0
Leifsonia sp. 21MFCrub1.1,0
Leifsonia shinshuensis,0
Leifsonia xyli,0
Leucobacter sp. CX169,0
Leucobacter sp. Psy1,0
Leucobacter viscericola,0
Leucobacter luti,0
Leucobacter insecticola,0
Leucobacter allii,0
Leucobacter triazinivorans,0
Leucobacter coleopterorum,0
Leucobacter denitrificans,0
Leucobacter rhizosphaerae,0
Leucobacter muris,0
Leucobacter aridicollis,0
Leucobacter tenebrionis,0
Agrococcus sp. Marseille-Q4369,0
Agrococcus sp. SGAir0287,0
Agrococcus sp. SCSIO52902,0
Agrococcus sp. SL85,0
Agrococcus jejuensis,0
Agrococcus carbonis,0
Agrococcus beijingensis,0
Rathayibacter sp. VKM Ac-2760,0
Rathayibacter sp. VKM Ac-2762,0
Rathayibacter sp. VKM Ac-2801,0
Rathayibacter sp. VKM Ac-2805,0
Rathayibacter sp. VKM Ac-2804,0
Rathayibacter sp. VKM Ac-2759,0
Rathayibacter sp. VKM Ac-2803,0
Rathayibacter tanaceti,0
Rathayibacter festucae,0
Rathayibacter iranicus,0
Rathayibacter tritici,0
Rathayibacter toxicus,0
Rathayibacter rathayi,0
Rathayibacter oskolensis,0
Salinibacterium sp. dk2585,0
Salinibacterium sp. UTAS2018,0
Salinibacterium sp. ZJ70,0
Salinibacterium sp. ZJ450,0
Salinibacterium sp. TMP30,0
Salinibacterium sp. M195,0
Salinibacterium hongtaonis,0
Cryobacterium sp. 10S3,0
Cryobacterium sp. LW097,0
Cryobacterium sp. PAMC25264,0
Cryobacterium sp. SO1,0
Cryobacterium sp. SO2,0
Cryobacterium sp.,0
Cryobacterium arcticum,0
Cryobacterium soli,0
Cryobacterium breve,0
Rhodoluna limnophila,0
Rhodoluna lacicola,0
Candidatus Rhodoluna planktonica,0
Rhodoluna sp. KAS3,0
Aquiluna borgnonia,0
Candidatus Aquiluna sp. UB-MaderosW2red,0
Clavibacter michiganensis,0
Clavibacter zhangzhiyongii,0
Clavibacter capsici,0
Clavibacter nebraskensis,0
Clavibacter sepedonicus,0
Clavibacter phaseoli,0
Clavibacter californiensis,0
Clavibacter sp. A6099,0
Frondihabitans sp. PAMC 28766,0
Frondihabitans sp. 762G35,0
Frondihabitans sucicola,0
Microcella daejeonensis,0
Microcella humidisoli,0
Microcella alkaliphila,0
Microcella sp.,0
Chryseoglobus sp. 28M-23,0
Microcella flavibacter,0
Microcella indica,0
Mycetocola spongiae,0
Mycetocola sp. JXN-3,0
Mycetocola zhujimingii,0
Lysinibacter sp. HNR,0
Protaetiibacter larvae,0
Protaetiibacter sp. SSC-01,0
Protaetiibacter intestinalis,0
Naasia aerilata,0
Gulosibacter sediminis,0
Gulosibacter molinativorax,0
Subtercola sp. PAMC28395,0
Subtercola endophyticus,0
Agreia sp. COWG,0
Humibacter ginsenosidimutans,0
Plantibacter sp. M259,0
Plantibacter sp. PA-3-X8,0
Plantibacter flavus,0
Herbiconiux sp. SALV-R1,0
Herbiconiux sp. L3-i23,0
Frigoribacterium sp. SL97,0
Frigoribacterium sp. NBH87,0
Aurantimicrobium photophilum,0
Aurantimicrobium minutum,0
Aurantimicrobium sp. MWH-Uga1,0
Aurantimicrobium sp. INA4,0
Microterricola viridarii,0
Pseudoclavibacter sp. Marseille-Q3772,0
Cnuibacter physcomitrellae,0
Gryllotalpicola protaetiae,0
Diaminobutyricimonas sp. LJ205,0
Pontimonas salivibrio,0
Glaciihabitans sp. INWT7,0
Homoserinibacter sp. YIM 151385,0
Antiquaquibacter oligotrophicus,0
Marisediminicola antarctica,0
Diaminobutyricibacter sp. McL0608,0
Amnibacterium kyonggiense,0
Arthrobacter sp. PAMC25284,0
Arthrobacter sp. FB24,0
Arthrobacter sp. PGP41,0
Arthrobacter sp. zg-Y820,0
Arthrobacter sp. Helios,0
Arthrobacter sp. 24S4-2,0
Arthrobacter sp. CJ23,0
Arthrobacter sp. zg-Y20,0
Arthrobacter sp. CDRTa11,0
Arthrobacter sp. FW305-BF8,0
Arthrobacter sp. YC-RL1,0
Arthrobacter sp. NicSoilC5,0
Arthrobacter sp. PAMC 25486,0
Arthrobacter sp. NicSoilB8,0
Arthrobacter sp. StoSoilB22,0
Arthrobacter sp. NtRootA1,0
Arthrobacter sp. ATA002,0
Arthrobacter sp. TMP15,0
Arthrobacter sp. EM1,0
Arthrobacter sp. NEB 688,0
Arthrobacter sp. PM3,0
Arthrobacter sp. ERGS1:01,0
Arthrobacter sp. PAMC25564,0
Arthrobacter sp. U41,0
Arthrobacter sp. zg-Y1171,0
Arthrobacter sp. Y-9,0
Arthrobacter sp. StoSoilB13,0
Arthrobacter sp. FW306-2-2C-D06B,0
Arthrobacter sp. MMS18-M83,0
Arthrobacter sp. zg-Y1110,0
Arthrobacter sp. YN,0
Arthrobacter sp. QXT-31,0
Arthrobacter sp. StoSoilB5,0
Arthrobacter sp. FW306-05-C,0
Arthrobacter sp. StoSoilA2,0
Arthrobacter sp. JZ12,0
Arthrobacter sp. YA7-1,0
Arthrobacter sp. D5-1,0
Arthrobacter sp. NicSoilB4,0
Arthrobacter sp. FW306-06-A,0
Arthrobacter sp. UKPF54-2,0
Arthrobacter sp. FW306-07-I,0
Arthrobacter sp. zg-Y919,0
Arthrobacter sp. StoSoilB20,0
Arthrobacter sp. KBS0702,0
Arthrobacter sp. DNA4,0
Arthrobacter sp. Rue61a,0
Arthrobacter sp.,0
Arthrobacter sp. StoSoilB19,0
Arthrobacter sp. FX8,0
Arthrobacter sp. NicSoilB11,0
Arthrobacter sp. J3.49,0
Arthrobacter jiangjiafuii,0
Arthrobacter agilis,0
Arthrobacter alpinus,0
Arthrobacter koreensis,0
Arthrobacter citreus,0
Arthrobacter crystallopoietes,0
Arthrobacter woluwensis,0
Arthrobacter polaris,0
Arthrobacter dokdonellae,0
Arthrobacter sulfonylureivorans,0
Arthrobacter zhangbolii,0
Arthrobacter gengyunqii,0
Arthrobacter sunyaminii,0
Arthrobacter jinronghuae,0
Arthrobacter antioxidans,0
Arthrobacter oryzae,0
Arthrobacter caoxuetaonis,0
Arthrobacter zhaoxinii,0
Rothia mucilaginosa,1e-4
Rothia aeria,0
Rothia dentocariosa,0
Rothia terrae,0
Rothia sp. SD9660Na,0
Rothia sp. ZJ932,0
Rothia nasimurium,0
Rothia kristinae,0
Rothia amarae,0
Pseudarthrobacter sp. SSS035,0
Pseudarthrobacter sp. BIM B-2242,0
Pseudarthrobacter sp. L1SW,0
Pseudarthrobacter sp. NS4,0
Pseudarthrobacter sp. MM222,0
Pseudarthrobacter sp. NBSH8,0
Pseudarthrobacter sp. NIBRBAC000502770,0
Pseudarthrobacter sp. IC2-21,0
Pseudarthrobacter sp. NIBRBAC000502772,0
Pseudarthrobacter sp. NamE5,0
Pseudarthrobacter sp. NIBRBAC000502771,0
Pseudarthrobacter sp. LT1,0
Pseudarthrobacter chlorophenolicus,0
Pseudarthrobacter oxydans,0
Pseudarthrobacter phenanthrenivorans,0
Pseudarthrobacter psychrotolerans,0
Pseudarthrobacter defluvii,0
Pseudarthrobacter equi,0
Pseudarthrobacter sulfonivorans,0
Glutamicibacter halophytocola,0
Glutamicibacter arilaitensis,0
Glutamicibacter mishrai,0
Glutamicibacter nicotianae,0
Glutamicibacter sp. M10,0
Glutamicibacter sp. JL.03c,0
Glutamicibacter protophormiae,0
Glutamicibacter creatinolyticus,0
Glutamicibacter mysorens,0
Kocuria turfanensis,0
Kocuria flava,0
Kocuria rosea,0
Kocuria palustris,0
Kocuria sp. TGY1127_2,0
Kocuria sp. BT304,0
Kocuria sp. KD4,0
Kocuria rhizophila,0
Kocuria varians,0
Kocuria indica,0
Paenarthrobacter sp. JL.01a,0
Paenarthrobacter sp. GOM3,0
Paenarthrobacter sp. YJN-5,0
Paenarthrobacter sp. R1,0
Paenarthrobacter sp. Y-19,0
Paenarthrobacter sp. OM7,0
Paenarthrobacter sp. YJN-D,0
Paenarthrobacter sp. AT5,0
Paenarthrobacter ureafaciens,0
Paenarthrobacter nicotinovorans,0
Micrococcus luteus,0
Micrococcus sp. 2A,0
Micrococcus sp. KBS0714,0
Micrococcus sp. MG-2010-D12,0
Micrococcus terreus,0
Micrococcus lylae,0
Micrococcus porci,0
Micrococcus yunnanensis,0
Citricoccus sp. NR2,0
Citricoccus sp. I39-566,0
Citricoccus sp. SGAir0253,0
Citricoccus muralis,0
Nesterenkonia sp. NBAIMH1,0
Nesterenkonia pannonica,0
Paeniglutamicibacter sp. Y32M11,0
Paeniglutamicibacter sp. ZC-3,0
Renibacterium salmoninarum,0
Sinomonas sp. R1AF57,0
Sinomonas atrocyanea,0
Auritidibacter ignavus,0
Psychromicrobium lacuslunae,0
Zhihengliuella sp. ISTPL4,0
Pseudoglutamicibacter albus,0
Neomicrococcus aestuarii,0
Cellulomonas sp. NTE-D12,0
Cellulomonas sp. JZ18,0
Cellulomonas sp. PSBB021,0
Cellulomonas sp. Y8,0
Cellulomonas sp. H30R-01,0
Cellulomonas sp. C5510,0
Cellulomonas sp. ATA003,0
Cellulomonas sp. ES6,0
Cellulomonas sp. S1-8,0
Cellulomonas sp. NS3,0
Cellulomonas sp. WB94,0
Cellulomonas taurus,0
Cellulomonas xiejunii,0
Cellulomonas shaoxiangyii,0
Cellulomonas fimi,0
Cellulomonas wangleii,0
Cellulomonas wangsupingiae,0
Cellulomonas dongxiuzhuiae,0
Cellulomonas fengjieae,0
Cellulomonas flavigena,0
Cellulomonas gilvus,0
Cellulomonas iranensis,0
Cellulomonas chengniuliangii,0
Cellulomonas palmilytica,0
Paraoerskovia sediminicola,0
Paraoerskovia marina,0
Pseudactinotalea sp. HY158,0
Oerskovia sp. KBS0722,0
Actinotalea sp. JY-7876,0
Brevibacterium sp. SMBL_HHYL_HB1,0
Brevibacterium sp. BRM-1,0
Brevibacterium sp. CS2,0
Brevibacterium sp. 'Marine',0
Brevibacterium sp. JSBI002,0
Brevibacterium sp. Ap13,0
Brevibacterium sp. W7.2,0
Brevibacterium sp. BDJS002,0
Brevibacterium aurantiacum,0
Brevibacterium luteolum,0
Brevibacterium casei,0
Brevibacterium zhoupengii,0
Brevibacterium pigmentatum,0
Brevibacterium oceani,0
Brevibacterium linens,0
Brevibacterium spongiae,0
Brevibacterium sandarakinum,0
Brevibacterium atlanticum,0
Brevibacterium limosum,0
Brevibacterium siliguriense,0
Janibacter sp. A1S7,0
Janibacter sp. YB324,0
Janibacter sp. CX7,0
Janibacter sp. DB-40,0
Janibacter melonis,0
Janibacter terrae,0
Janibacter limosus,0
Janibacter indicus,0
Janibacter cremeus,0
Intrasporangium calvum,0
Arsenicicoccus sp. oral taxon 190,0
Terrabacter sp. C0L_2,0
Phycicoccus endophyticus,0
Phycicoccus sp. HDW14,0
Nostocoides sp. HKS02,0
Pedococcus dokdonensis,0
Brachybacterium sp. Z12,0
Brachybacterium sp. GU-2,0
Brachybacterium sp. P6-10-X1,0
Brachybacterium sp. NBEC-018,0
Brachybacterium sp. SGAir0954,0
Brachybacterium sp. GPGPB12,0
Brachybacterium saurashtrense,0
Brachybacterium ginsengisoli,0
Brachybacterium vulturis,0
Brachybacterium avium,0
Brachybacterium huguangmaarense,0
Brachybacterium kimchii,0
Brachybacterium halotolerans,0
Dermabacter vaginalis,0
Dermabacter jinjuensis,0
Dermabacter hominis,0
Helcobacillus massiliensis,0
Devriesea agamarum,0
Isoptericola sp. AK164,0
Isoptericola dokdonensis,0
Isoptericola variabilis,0
Cellulosimicrobium cellulans,0
Cellulosimicrobium protaetiae,0
Cellulosimicrobium sp. JZ28,0
Cellulosimicrobium sp. 72-3,0
Xylanimonas allomyrinae,0
Xylanimonas protaetiae,0
Xylanimonas cellulosilytica,0
Ruania zhangjianzhongii,0
Ruania alkalisoli,0
Ruania suaedae,0
Ruania halotolerans,0
Occultella kanbiaonis,0
Ornithinimicrobium ciconiae,0
Ornithinimicrobium cryptoxanthini,0
Ornithinimicrobium flavum,0
Ornithinimicrobium faecis,0
Ornithinimicrobium pratense,0
Ornithinimicrobium sufpigmenti,0
Ornithinimicrobium avium,0
Ornithinimicrobium sp. INDO-MA30-4,0
Serinicoccus marinus,0
Serinicoccus chungangensis,0
Serinicoccus profundi,0
Serinicoccus hydrothermalis,0
Georgenia sp. TF02-10,0
Georgenia sp. M64,0
Georgenia wutianyii,0
Georgenia faecalis,0
Georgenia yuyongxinii,0
Barrientosiimonas endolithica,0
Dermacoccus nishinomiyaensis,0
Dermacoccus sp. PAMC28757,0
Allobranchiibius sp. GilTou73,0
Yimella sp. cx-51,0
Luteipulveratus mongoliensis,0
Demequina sp. TMPB413,0
Demequina sp. OYTSA14,0
Demequina sp. PMTSA13,0
Demequina sediminis,0
Sanguibacter sp. HDW7,0
Sanguibacter sp. 4.1,0
Sanguibacter keddieii,0
Dermatophilus congolensis,0
Gephyromycinifex aptenodytis,0
Austwickia chelonae,0
Miniimonas sp. S16,0
Beutenbergia cavernae,0
Pengzhenrongella sicca,0
Luteimicrobium xylanilyticum,0
Kytococcus sedentarius,0
Tropheryma whipplei,0
Jonesia denitrificans,0
Pseudonocardia sp. AL041005-10,2e-4
Pseudonocardia sp. HH130629-09,0
Pseudonocardia sp. DSM 110487,0
Pseudonocardia sp. HH130630-07,0
Pseudonocardia sp. EC080625-04,0
Pseudonocardia sp. EC080610-09,0
Pseudonocardia autotrophica,0
Pseudonocardia broussonetiae,0
Pseudonocardia petroleophila,0
Pseudonocardia dioxanivorans,0
Pseudonocardia alni,0
Pseudonocardia abyssalis,0
Pseudonocardia oceani,0
Pseudonocardia alaniniphila,0
Amycolatopsis sp. YIM 10,0
Amycolatopsis sp. DG1A-15b,0
Amycolatopsis sp. Hca4,0
Amycolatopsis sp. FU40,0
Amycolatopsis sp. NBC_01480,0
Amycolatopsis sp. 2-2,0
Amycolatopsis sp. FDAARGOS 1241,0
Amycolatopsis sp. CA-230715,0
Amycolatopsis sp. 2-15,0
Amycolatopsis sp. NBC_00345,0
Amycolatopsis sp. FBCC-B4732,0
Amycolatopsis sp. EV170708-02-1,0
Amycolatopsis sp. NBC_01488,0
Amycolatopsis sp. BJA-103,0
Amycolatopsis sp. DSM 110486,0
Amycolatopsis sp. TNS106,0
Amycolatopsis sp. NBC_01307,0
Amycolatopsis sp. NBC_00355,0
Amycolatopsis sp. AA4,0
Amycolatopsis sp. QT-25,0
Amycolatopsis sp. WQ 127309,0
Amycolatopsis sp. NBC_00438,0
Amycolatopsis sp. NBC_01286,0
Amycolatopsis sp. NBC_00348,0
Amycolatopsis japonica,0
Amycolatopsis keratiniphila,0
Amycolatopsis acidiphila,0
Amycolatopsis aidingensis,0
Amycolatopsis mongoliensis,0
Amycolatopsis albispora,0
Amycolatopsis methanolica,0
Amycolatopsis mediterranei,0
Amycolatopsis rhabdoformis,0
Amycolatopsis orientalis,0
Amycolatopsis cynarae,0
Amycolatopsis thermalba,0
Amycolatopsis roodepoortensis,0
Amycolatopsis coloradensis,0
Saccharopolyspora erythraea,0
Saccharopolyspora rosea,0
Saccharopolyspora sp. SCSIO 74807,0
Saccharopolyspora sp. ASAGF58,0
Saccharopolyspora spinosa,0
Saccharopolyspora gloriosae,0
Saccharopolyspora gregorii,0
Saccharopolyspora pogona,0
Kutzneria chonburiensis,0
Kutzneria sp. CA-103260,0
Kutzneria buriramensis,0
Kutzneria albida,0
Actinoalloteichus sp. AHMU CJ021,0
Actinoalloteichus sp. GBA129-24,0
Actinoalloteichus hymeniacidonis,0
Actinoalloteichus hoggarensis,0
Actinoalloteichus fjordicus,0
Lentzea sp. DG1S-22,0
Lentzea sp. HUAS12,0
Lentzea sp. NBC_00516,0
Lentzea guizhouensis,0
Saccharomonospora marina,0
Saccharomonospora glauca,0
Saccharomonospora azurea,0
Saccharomonospora xinjiangensis,0
Saccharomonospora viridis,0
Saccharomonospora cyanea,0
Saccharothrix espanaensis,0
Saccharothrix syringae,0
Saccharothrix sp. 6-C,0
Actinosynnema mirum,0
Actinosynnema pretiosum,0
Actinokineospora sp. UTMC 2448,0
Umezawaea sp. Da 62-37,0
Crossiella sp. CA-258035,0
Allokutzneria albata,0
Kibdelosporangium phytohabitans,0
Prauserella marina,0
Prauserella muralis,0
Alloactinosynnema sp. L-07,0
Actinomycetospora sp. NBC_00405,0
Allosaccharopolyspora coralli,0
Bifidobacterium longum,1e-4
Bifidobacterium breve,1e-4
Bifidobacterium sp. ESL0775,0
Bifidobacterium sp. ESL0769,0
Bifidobacterium sp. ESL0798,0
Bifidobacterium sp. ESL0704,0
Bifidobacterium sp. ESL0690,0
Bifidobacterium sp. ESL0732,0
Bifidobacterium sp. ESL0728,0
Bifidobacterium sp. ESL0790,0
Bifidobacterium sp. ESL0764,0
Bifidobacterium sp. ESL0682,0
Bifidobacterium sp. ESL0800,0
Bifidobacterium pseudocatenulatum,0
Bifidobacterium scardovii,0
Bifidobacterium eulemuris,0
Bifidobacterium asteroides,0
Bifidobacterium catenulatum,0
Bifidobacterium dentium,0
Bifidobacterium lemurum,0
Bifidobacterium adolescentis,0
Bifidobacterium pseudolongum,0
Bifidobacterium bifidum,0
Bifidobacterium pullorum,0
Bifidobacterium subtile,0
Bifidobacterium saguini,0
Bifidobacterium animalis,0
Bifidobacterium thermophilum,0
Bifidobacterium actinocoloniiforme,0
Bifidobacterium imperatoris,0
Bifidobacterium angulatum,0
Bifidobacterium coryneforme,0
Bifidobacterium choerinum,0
Bifidobacterium indicum,0
Gardnerella leopoldii,0
Gardnerella vaginalis,0
Gardnerella swidsinskii,0
Gardnerella piotii,0
Scardovia inopinata,0
Parascardovia denticolens,0
Bombiscardovia apis,0
Micromonospora sp. NBC_01699,0
Micromonospora sp. HM134,0
Micromonospora sp. DSM 102119,0
Micromonospora sp. FIMYZ51,0
Verrucosispora sp. WMMD573,0
Micromonospora sp. WMMD812,0
Micromonospora sp. DSM 45708,0
Micromonospora sp. WMMD882,0
Micromonospora sp. NBC_01813,0
Verrucosispora sp. NA02020,0
Micromonospora sp. NBC_01796,0
Micromonospora sp. HUAS LYJ1,0
Micromonospora sp. NBC_00330,0
Micromonospora sp. NBC_00389,0
Micromonospora sp. NBRC 110009,0
Micromonospora sp. LH3U1,0
Micromonospora sp. WMMD714,0
Micromonospora sp. NBC_01740,0
Micromonospora sp. WMMD998,0
Micromonospora sp. WMMD964,0
Micromonospora sp. WMMA2032,0
Micromonospora sp. WMMD1076,0
Micromonospora sp. WMMA1947,0
Micromonospora sp. DPT,0
Verrucosispora sp. WMMA2044,0
Micromonospora sp. WMMA1976,0
Micromonospora sp. WMMD1155,0
Micromonospora sp. WMMD712,0
Micromonospora sp. WMMD975,0
Micromonospora sp. WMMC415,0
Micromonospora sp. NBC_01739,0
Micromonospora sp. NBC_00821,0
Micromonospora sp. NBC_00421,0
Micromonospora sp. WMMA1998,0
Micromonospora sp. WMMD987,0
Verrucosispora sp. WMMD1129,0
Micromonospora sp. B006,0
Verrucosispora sp. WMMC514,0
Micromonospora sp. WMMD1128,0
Micromonospora sp. L5,0
Micromonospora sp. WMMC264,0
Micromonospora zamorensis,0
Micromonospora coriariae,0
Micromonospora echinaurantiaca,0
Micromonospora maris,0
Micromonospora krabiensis,0
Micromonospora inositola,0
Micromonospora halotolerans,0
Micromonospora ferruginea,0
Micromonospora peucetia,0
Micromonospora profundi,0
Micromonospora echinospora,0
Micromonospora siamensis,0
Micromonospora auratinigra,0
Micromonospora cathayae,0
Micromonospora terminaliae,0
Micromonospora echinofusca,0
Micromonospora craniellae,0
Micromonospora sagamiensis,0
Micromonospora chokoriensis,0
Micromonospora coxensis,0
Micromonospora endophytica,0
Micromonospora ureilytica,0
Micromonospora carbonacea,0
Micromonospora chalcea,0
Micromonospora narathiwatensis,0
Micromonospora aurantiaca,0
Micromonospora globbae,0
Micromonospora viridifaciens,0
Micromonospora purpureochromogenes,0
Micromonospora rifamycinica,0
Micromonospora tulbaghiae,0
Actinoplanes sp. L3-i22,0
Actinoplanes sp. NBC_00393,0
Actinoplanes sp. N902-109,0
Actinoplanes sp. OR16,0
Actinoplanes missouriensis,0
Actinoplanes sichuanensis,0
Actinoplanes derwentensis,0
Actinoplanes friuliensis,0
Actinoplanes teichomyceticus,0
Actinoplanes ianthinogenes,0
Actinoplanes oblitus,0
Actinoplanes hotanensis,0
Dactylosporangium sp. AC04546,0
Dactylosporangium sp. NBC_01737,0
Dactylosporangium fulvum,0
Dactylosporangium aurantiacum,0
Dactylosporangium roseum,0
Dactylosporangium vinaceum,0
Dactylosporangium matsuzakiense,0
Plantactinospora sp. KBS50,0
Plantactinospora sp. ZYX-F-223,0
Plantactinospora sp. BB1,0
Plantactinospora sp. BC1,0
Actinocatenispora thailandica,0
Actinocatenispora sera,0
Solwaraspora sp. WMMA2056,0
Solwaraspora sp. WMMD791,0
Solwaraspora sp. WMMD937,0
Solwaraspora sp. WMMA2065,0
Phytohabitans suffuscus,0
Phytohabitans flavus,0
Couchioplanes caeruleus,0
Salinispora tropica,0
Polymorphospora rubra,0
Catellatospora sp. IY07-71,0
Natronosporangium hydrolyticum,0
Schaalia odontolytica,1e-4
Schaalia sp. HMT-172,0
Schaalia sp. 19OD2882,0
Schaalia sp. ZJ405,0
Schaalia sp. JY-X169,0
Schaalia cardiffensis,0
Schaalia meyeri,0
Schaalia turicensis,0
Schaalia radingae,0
Actinomyces sp. oral taxon 414,0
Actinomyces sp. oral taxon 171,0
Actinomyces sp. 432,0
Actinomyces sp. oral taxon 169,0
Actinomyces sp. Z16,0
Actinomyces sp. HMT 175,0
Actinomyces sp. Chiba101,0
Actinomyces sp. HMT897,0
Actinomyces sp. oral taxon 897,0
Actinomyces sp. zg-332,0
Actinomyces pacaensis,0
Actinomyces oris,0
Actinomyces qiguomingii,0
Actinomyces naeslundii,0
Actinomyces howellii,0
Actinomyces capricornis,0
Actinomyces trachealis,0
Actinomyces slackii,0
Actinomyces respiraculi,0
Actinomyces procaprae,0
Actinomyces weissii,0
Actinomyces wuliandei,0
Actinomyces radicidentis,0
Actinomyces massiliensis,0
Actinomyces viscosus,0
Actinomyces lilanjuaniae,0
Actinomyces israelii,0
Actinomyces urogenitalis,0
Actinomyces gaoshouyii,0
Actinomyces marmotae,0
Actinomyces faecalis,0
Trueperella pyogenes,0
Trueperella abortisuis,0
Trueperella pecoris,0
Trueperella bialowiezensis,0
Trueperella bernardiae,0
Arcanobacterium canis,0
Arcanobacterium wilhelmae,0
Arcanobacterium haemolyticum,0
Arcanobacterium phocae,0
Arcanobacterium phocisimile,0
Arcanobacterium buesumense,0
Arcanobacterium pinnipediorum,0
Mobiluncus massiliensis,0
Mobiluncus curtisii,0
Actinotignum schaalii,0
Actinotignum urinale,0
Actinotignum timonense,0
Flaviflexus equikiangi,0
Flaviflexus ciconiae,0
Flaviflexus salsibiostraticola,0
Varibaculum prostatecancerukia,0
Pauljensenia hongkongensis,0
Changpingibacter yushuensis,0
Winkia neuii,0
Gleimia hominis,0
Gleimia europaea,0
Boudabousia tangfeifanii,0
Actinobaculum sp. 313,0
Nanchangia anserum,0
Nocardioides sp. zg-1228,0
Nocardioides sp. W7,0
Nocardioides sp. QY071,0
Nocardioides sp. JS614,0
Nocardioides sp. NBC_00368,0
Nocardioides sp. LMS-CY,0
Nocardioides sp. Kera G14,0
Nocardioides sp. TF02-7,0
Nocardioides sp. BP30,0
Nocardioides sp. dk884,0
Nocardioides sp. InS609-2,0
Nocardioides sp. WS12,0
Nocardioides sp. S-34,0
Nocardioides sp. B-3,0
Nocardioides sp. HDW12B,0
Nocardioides sp. S5,0
