"","Kingdom","Phylum","Class","Order","Family","Genus","Species","sa1"
"2954636","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__sp. FSL W8-0920",1
"2954678","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__sp. FSL K6-1012",1
"2921456","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__sp. FSL K6-0993",1
"2975304","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__sp. FSL R5-0523",1
"3126755","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__sp. BR3(2024)",1
"2921570","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__sp. FSL M8-0277",1
"3122078","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__sp. MAG717A",1
"2921587","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__sp. FSL R7-0672",1
"1396","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__cereus",2230
"1428","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__thuringiensis",1432
"1405","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__mycoides",1386
"64104","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__pseudomycoides",526
"2817477","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__paramobilis",306
"155322","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__toyonensis",305
"2026193","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__nitratireducens",265
"580165","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__cytotoxicus",168
"2026191","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__luti",136
"2026186","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__paranthracis",128
"1890302","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__wiedmannii",119
"2026188","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__tropicus",104
"2053832","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__sp. HBCD-sjtu",2
"1892404","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__sp. ABP14",1
"2026187","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__pacificus",66
"1392","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__anthracis",40
"2026194","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__paramycoides",36
"658666","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__bombysepticus",4
"2026189","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__albus",1
"492670","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__velezensis",665
"1390","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__amyloliquefaciens",193
"659243","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__siamensis",52
"1452","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__atrophaeus",1122
"1648923","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__paralicheniformis",522
"260554","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__halotolerans",428
"72360","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__mojavensis",89
"72361","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__vallismortis",450
"1423","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__subtilis",265
"227866","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__tequilensis",252
"96241","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__spizizenii",231
"1402","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__licheniformis",147
"483913","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__inaquosorum",72
"2054641","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__stercoris",50
"119858","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__sonorensis",2
"1408","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__pumilus",1438
"293387","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__altitudinis",680
"324767","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__infantis",618
"1455","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__badius",567
"1983719","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__shivajii",557
"1925020","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__swezeyi",519
"1471","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__methanolicus",511
"2819290","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__arachidis",478
"1441095","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__gobiensis",371
"1547283","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__weihaiensis",348
"1664069","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__glycinifermentans",286
"1479","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__smithii",285
"1178537","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__xiamenensis",236
"561879","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__safensis",183
"2672567","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__aquiflavi",98
"86663","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__carboniphilus",81
"293388","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__aerius",50
"2487276","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__cabrialesii",43
"2728853","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__fonticola",31
"2715209","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__rugosus",20
"2675232","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Neobacillus","s__",48
"3047873","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Neobacillus","s__sp. WH10",1311
"3070682","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Neobacillus","s__sp. OS1-32",1122
"2954672","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Neobacillus","s__sp. FSL H8-0543",1082
"3070683","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Neobacillus","s__sp. OS1-33",1066
"3070678","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Neobacillus","s__sp. PS3-34",839
"2963105","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Neobacillus","s__sp. Marseille-Q6967",808
"3048535","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Neobacillus","s__sp. 114",763
"3047871","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Neobacillus","s__sp. DY30",729
"3047875","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Neobacillus","s__sp. SuZ13",714
"3070677","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Neobacillus","s__sp. PS3-12",689
"3047874","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Neobacillus","s__sp. YX16",611
"3070680","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Neobacillus","s__sp. OS1-2",479
"3070676","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Neobacillus","s__sp. PS2-9",348
"3070679","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Neobacillus","s__sp. PS3-40",347
"1740721","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Neobacillus","s__cucumis",1206
"1193713","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Neobacillus","s__mesonae",1029
"220684","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Neobacillus","s__drentensis",840
"220687","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Neobacillus","s__novalis",601
"400634","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Lysinibacillus","s__",2055
"2936682","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Lysinibacillus","s__sp. Ag94",548
"2921393","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Lysinibacillus","s__sp. FSL H8-0500",329
"2169540","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Lysinibacillus","s__sp. 2017",303
"2921465","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Lysinibacillus","s__sp. FSL K6-1151",302
"2921718","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Lysinibacillus","s__sp. FSL M8-0337",242
"2070463","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Lysinibacillus","s__sp. SGAir0095",227
"2892541","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Lysinibacillus","s__sp. CD3-6",226
"2921497","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Lysinibacillus","s__sp. FSL K6-3209",220
"2792480","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Lysinibacillus","s__sp. JNUCC-52",169
"2921515","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Lysinibacillus","s__sp. FSL L8-0126",163
"3122488","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Lysinibacillus","s__sp. Y5S-8",121
"2921720","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Lysinibacillus","s__sp. FSL P2-0066",103
"3026425","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Lysinibacillus","s__sp. G01H",65
"2792479","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Lysinibacillus","s__sp. JNUCC-51",35
"3039426","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Lysinibacillus","s__sp. 1 U-2021",31
"2921721","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Lysinibacillus","s__sp. FSL P4-0201",28
"2072025","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Lysinibacillus","s__sp. YS11",22
"2921411","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Lysinibacillus","s__sp. FSL K6-0057",18
"2921504","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Lysinibacillus","s__sp. FSL K6-4013",10
"2921415","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Lysinibacillus","s__sp. FSL K6-0075",9
"2921619","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Lysinibacillus","s__sp. FSL M8-0216",7
"2972483","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Lysinibacillus","s__sp. OF-1",5
"2913506","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Lysinibacillus","s__sp. ACHW1.5",2
"2749809","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Lysinibacillus","s__sp. JK80",2
"2954544","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Lysinibacillus","s__sp. FSL W7-1291",1
"2796169","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Lysinibacillus","s__sp. C5.1",1
"1470088","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Lysinibacillus","s__louembei",911
"2086577","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Lysinibacillus","s__timonensis",697
"1421","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Lysinibacillus","s__sphaericus",414
"28031","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Lysinibacillus","s__fusiformis",370
"1714840","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Lysinibacillus","s__telephonicus",368
"2998077","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Lysinibacillus","s__irui",319
"2115968","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Lysinibacillus","s__capsici",265
"759811","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Lysinibacillus","s__pakistanensis",192
"2590012","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Lysinibacillus","s__agricola",85
"33935","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Lysinibacillus","s__macroides",25
"436516","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Lysinibacillus","s__parviboronicapiens",18
"1145276","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Lysinibacillus","s__varians",18
"2675229","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Peribacillus","s__",1339
"228899","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Peribacillus","s__asahii",1446
"3073271","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Peribacillus","s__sp. R9-11",519
"2921364","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Peribacillus","s__sp. FSL E2-0218",312
"2921573","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Peribacillus","s__sp. FSL P2-0133",105
"2975289","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Peribacillus","s__sp. FSL E2-0159",22
"1478","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Peribacillus","s__simplex",936
"450367","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Peribacillus","s__frigoritolerans",925
"1407","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Peribacillus","s__psychrosaccharolyticus",561
"264697","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Peribacillus","s__muralis",156
"421767","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Peribacillus","s__butanolivorans",99
"2675231","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Mesobacillus","s__",478
"129985","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Mesobacillus","s__jeotgali",1857
"3043332","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Mesobacillus","s__sp. AQ2",667
"2880221","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Mesobacillus","s__sp. S13",581
"279826","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Mesobacillus","s__foraminis",1133
"285983","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Mesobacillus","s__subterraneus",739
"2800373","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Priestia","s__",1372
"1404","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Priestia","s__megaterium",1888
"86664","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Priestia","s__flexa",839
"284581","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Priestia","s__koreensis",610
"1402861","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Priestia","s__filamentosa",468
"412384","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Priestia","s__aryabhattai",181
"135735","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Priestia","s__endophytica",5
"2675230","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Cytobacillus","s__",836
"1399","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Cytobacillus","s__firmus",1579
"859144","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Cytobacillus","s__gottheilii",1223
"1637975","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Cytobacillus","s__solani",589
"1742359","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Cytobacillus","s__dafuensis",441
"3051614","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Cytobacillus","s__pseudoceanisediminis",309
"2901381","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Cytobacillus","s__spongiae",290
"665099","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Cytobacillus","s__oceanisediminis",31
"859143","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Cytobacillus","s__kochii",17
"2921700","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Cytobacillus","s__sp. FSL W7-1323",2
"182709","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Oceanobacillus","s__",937
"2921503","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Oceanobacillus","s__sp. FSL K6-3682",678
"2954748","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Oceanobacillus","s__sp. FSL K6-2867",371
"2921698","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Oceanobacillus","s__sp. FSL W7-1281",172
"2921420","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Oceanobacillus","s__sp. FSL K6-0127",55
"2975322","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Oceanobacillus","s__sp. FSL W7-1304",30
"2921699","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Oceanobacillus","s__sp. FSL W7-1293",24
"1462527","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Oceanobacillus","s__jeddahense",797
"2052660","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Oceanobacillus","s__zhaokaii",566
"746691","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Oceanobacillus","s__kimchii",196
"545501","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Oceanobacillus","s__oncorhynchi",192
"182710","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Oceanobacillus","s__iheyensis",103
"2837506","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Niallia","s__",21
"2912824","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Niallia","s__sp. Man26",936
"3082444","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Niallia","s__sp. XMNu-256",795
"2962858","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Niallia","s__sp. RD1",616
"1737571","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Niallia","s__oryzisoli",1359
"1397","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Niallia","s__circulans",686
"2499688","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Niallia","s__taxi",608
"84406","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Virgibacillus","s__",1405
"2419841","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Virgibacillus","s__sp. Bac330",562
"2700081","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Virgibacillus","s__sp. MSP4-1",276
"2831673","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Virgibacillus","s__sp. NKC19-16",250
"403957","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Virgibacillus","s__sp. SK37",154
"2419842","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Virgibacillus","s__sp. Bac332",46
"1911587","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Virgibacillus","s__sp. 6R",8
"163877","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Virgibacillus","s__necropolis",530
"1482","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Virgibacillus","s__halodenitrificans",504
"1216297","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Virgibacillus","s__natechei",444
"302167","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Virgibacillus","s__dokdonensis",389
"2017483","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Virgibacillus","s__phasianinus",186
"1473","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Virgibacillus","s__pantothenticus",101
"447199","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Virgibacillus","s__salarius",2
"2675233","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Metabacillus","s__",1845
"2806989","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Metabacillus","s__sp. cB07",561
"3117746","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Metabacillus","s__sp. FJAT-52054",523
"2897333","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Metabacillus","s__sp. B2-18",155
"3117747","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Metabacillus","s__sp. FJAT-53654",44
"2745198","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Metabacillus","s__sp. KUDC1714",37
"3048891","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Metabacillus","s__sp. CT-WN-B3",2
"2567941","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Metabacillus","s__sediminilitoris",647
"152268","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Metabacillus","s__litoralis",363
"1535204","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Metabacillus","s__endolithicus",230
"2874282","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Metabacillus","s__dongyingensis",53
"2837508","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Rossellomorea","s__",351
"189381","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Rossellomorea","s__marisflavi",1709
"189382","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Rossellomorea","s__aquimaris",870
"218284","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Rossellomorea","s__vietnamensis",811
"3118174","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Rossellomorea","s__sp. y25",344
"2963940","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Rossellomorea","s__sp. KS-H15a",26
"3038653","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Rossellomorea","s__sp. DA94",15
"129337","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Geobacillus","s__",1327
"1921421","k__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Geobacillus","s__genomosp. 3",1167
